dayOfWeek,solarDate,solarGanJi,jeolgi,lunaDate,lunaGanJi
월,1988-02-29,戊辰年 甲寅月 甲寅日,-,1988-01-12,戊辰年 甲寅月 甲寅日
화,1988-03-01,戊辰年 甲寅月 乙卯日,-,1988-01-13,戊辰年 甲寅月 乙卯日
수,1988-03-02,戊辰年 甲寅月 丙辰日,-,1988-01-14,戊辰年 甲寅月 丙辰日
목,1988-03-03,戊辰年 甲寅月 丁巳日,-,1988-01-15,戊辰年 甲寅月 丁巳日
금,1988-03-04,戊辰年 甲寅月 戊午日,-,1988-01-16,戊辰年 甲寅月 戊午日
토,1988-03-05,戊辰年 乙卯月 己未日,경칩 5일17시46분32초,1988-01-17,戊辰年 甲寅月 己未日
일,1988-03-06,戊辰年 乙卯月 庚申日,-,1988-01-18,戊辰年 甲寅月 庚申日
월,1988-03-07,戊辰年 乙卯月 辛酉日,-,1988-01-19,戊辰年 甲寅月 辛酉日
화,1988-03-08,戊辰年 乙卯月 壬戌日,-,1988-01-20,戊辰年 甲寅月 壬戌日
수,1988-03-09,戊辰年 乙卯月 癸亥日,-,1988-01-21,戊辰年 甲寅月 癸亥日
목,1988-03-10,戊辰年 乙卯月 甲子日,-,1988-01-22,戊辰年 甲寅月 甲子日
금,1988-03-11,戊辰年 乙卯月 乙丑日,-,1988-01-23,戊辰年 甲寅月 乙丑日
토,1988-03-12,戊辰年 乙卯月 丙寅日,-,1988-01-24,戊辰年 甲寅月 丙寅日
일,1988-03-13,戊辰年 乙卯月 丁卯日,-,1988-01-25,戊辰年 甲寅月 丁卯日
월,1988-03-14,戊辰年 乙卯月 戊辰日,-,1988-01-26,戊辰年 甲寅月 戊辰日